Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Critical,Disease
Frequent Urination,Fever,Frequent Infection,Rashes,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Tired,Swollen genitals,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,NIL,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Headache,NIL,NIL,Not Critical,Diabetes
"Yellow,green discharge",Hunger,Headache,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Frequent Infection,Bloody diarrhea,NIL,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Headache,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Tired,Frequent Infection,NIL,Seizures,Critical,Diabetes
"Yellow,green discharge",Tired,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,cancer
Frequent Urination,Hunger,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Fever,Frequent Infection,NIL,NIL,Not Critical,cancer
Difficulties in stooling,Tired,Muscle Aches,Swollen testicles,Disorientation,Critical,cancer
Frequent Urination,Fever,Blurred Vision,NIL,NIL,Not Critical,cancer
Painful Urination,Tired,Anal Itching and Pain,Rashes,NIL,Critical,cancer
Painful Urination,Tired,Frequent Infection,NIL,Slow heart rate and pulse,Critical,cancer
Painful Urination,Urge to urinate,Swollen genitals,Swollen testicles,Confusion,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Abdominal Pain,Bloody diarrhea,NIL,Critical,cancer
Painful Urination,Urge to urinate,Abdominal Pain,Bloody diarrhea,NIL,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Blurred Vision,NIL,NIL,Not Critical,cancer
Frequent Urination,Hunger,Blurred Vision,Bloody diarrhea,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Tired,Abdominal Pain,Rose spots,NIL,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Frequent Urination,Fever,Headache,Rashes,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Muscle Aches,Rashes,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Fever,Blurred Vision,NIL,Confusion,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,Rose spots,Disorientation,Critical,cardiovascular_disease
Frequent Urination,Fever,Headache,Swollen testicles,Seizures,Critical,Diabetes
Frequent Urination,Hunger,Frequent Infection,Swollen testicles,NIL,Critical,Diabetes
